sentence,translated,gematria_sum
ᚪᚾᛞ-ᚪ-ᛋᛏᚪᛏᛖ-ᚩᚠ-ᛞᛁᛋᛗᚪᛚ-ᚹᛟ,AND A STATE OF DISMAL WOE,1172
ᛁᚾ-ᚻᚪᚱᚱᚩᚹᛝ-ᚠᛠᚱ-ᚱᚩᛚᛚᛝ-ᚱᚩᚢᚾᛞ,IN HARROWING FEAR ROLLING ROUND,811
ᚻᛁᛋ-ᚾᛖᚱᚢᚩᚢᛋ-ᛒᚱᚪᛁᚾ-ᛋᚻᚩᛏ-ᛒᚱᚪᚾᚳᚻᛖᛋ,HIS NERUOUS BRAIN SHOT BRANKHES,1005
ᚱᚩᚢᚾᛞ-ᚦᛖ-ᛒᚱᚪᚾᚳᚻᛖᛋ-ᚩᚠ-ᚻᛁᛋ-ᚻᛠᚱᛏ,ROUND THE BRANKHES OF HIS HEART,883
ᚩᚾ-ᚻᛁᚷᚻ-ᛁᚾᛏᚩ-ᛏᚹᚩ-ᛚᛁᛏᛏᛚᛖ-ᚩᚱᛒᛋ,ON HIGH INTO TWO LITTLE ORBS,835
ᚪᚾᛞ-ᚠᛁᛉᛖᛞ-ᛁᚾ-ᛏᚹᚩ-ᛚᛁᛏᛏᛚᛖ-ᚳᚪᚢᛖᛋ,AND FIXED IN TWO LITTLE KAUES,1191
ᚻᛁᛞᛝ-ᚳᚪᚱᛖᚠᚢᛚᛚᚣ-ᚠᚱᚩᛗ-ᚦᛖ-ᚹᛁᚾᛞ,HIDING KAREFULLY FROM THE WIND,995
ᚻᛁᛋ-ᛖᚣᛖᛋ-ᛒᛖᚻᛖᛚᛞ-ᚦᛖ-ᛞᛖᛖᛈ,HIS EYES BEHELD THE DEEP,1115
ᚪᚾᛞ-ᚪ-ᚦᛁᚱᛞ-ᚪᚷᛖ-ᛈᚪᛋᛋᛖᛞ-ᚩᚢᛖᚱ,AND A THIRD AGE PASSED OUER,1119
ᚪᚾᛞ-ᚪ-ᛋᛏᚪᛏᛖ-ᚩᚠ-ᛞᛁᛋᛗᚪᛚ-ᚹᛟ,AND A STATE OF DISMAL WOE,1172
ᚦᛖ-ᛈᚪᛝᛋ-ᚩᚠ-ᚻᚩᛈᛖ-ᛒᛖᚷᚪᚾ,THE PAINGS OF HOPE BEGAN,764
ᛁᚾ-ᚻᛠᚢᚣ-ᛈᚪᛁᚾ-ᛋᛏᚱᛁᚢᛝ-ᛋᛏᚱᚢᚷᚷᛚᛝ,IN HEAUY PAIN STRIUING STRUGGLING,1046
ᛏᚹᚩ-ᛠᚱᛋ-ᛁᚾ-ᚳᛚᚩᛋᛖ-ᚢᚩᛚᚢᛏᛡᚾᛋ,TWO EARS IN KLOSE UOLUTIANS,865
ᚠᚱᚩᛗ-ᛒᛖᚾᛠᚦ-ᚻᛁᛋ-ᚩᚱᛒᛋ-ᚩᚠ-ᚢᛁᛋᛡᚾ,FROM BENEATH HIS ORBS OF UISIAN,833
ᛋᚻᚩᛏ-ᛋᛈᛁᚱᛝ-ᚩᚢᛏ-ᚪᚾᛞ-ᛈᛖᛏᚱᛁᚠᛁᛖᛞ,SHOT SPIRING OUT AND PETRIFIED,1043
ᚪᛋ-ᚦᛖᚣ-ᚷᚱᛖᚹ-ᚪᚾᛞ-ᚪ-ᚠᚩᚢᚱᚦ-ᚪᚷᛖ-ᛈᚪᛋᛋᛖᛞ,AS THEY GREW AND A FOURTH AGE PASSED,1362
ᚪᚾᛞ-ᚪ-ᛋᛏᚪᛏᛖ-ᚩᚠ-ᛞᛁᛋᛗᚪᛚ-ᚹᛟ,AND A STATE OF DISMAL WOE,1172
ᛁᚾ-ᚷᚻᚪᛋᛏᛚᚣ-ᛏᚩᚱᛗᛖᚾᛏ-ᛋᛁᚳᚳ,IN GHASTLY TORMENT SIKK,898
ᚻᚪᛝᛝ-ᚢᛈᚩᚾ-ᚦᛖ-ᚹᛁᚾᛞ,HAINGING UPON THE WIND,600
ᛏᚹᚩ-ᚾᚩᛋᛏᚱᛁᛚᛋ-ᛒᛖᚾᛏ-ᛞᚩᚹᚾ-ᛏᚩ-ᚦᛖ-ᛞᛖᛖᛈ,TWO NOSTRILS BENT DOWN TO THE DEEP,1165
ᚪᚾᛞ-ᚪ-ᚠᛁᚠᚦ-ᚪᚷᛖ-ᛈᚪᛋᛋᛖᛞ-ᚩᚢᛖᚱ,AND A FIFTH AGE PASSED OUER,1023
ᚪᚾᛞ-ᚪ-ᛋᛏᚪᛏᛖ-ᚩᚠ-ᛞᛁᛋᛗᚪᛚ-ᚹᛟ,AND A STATE OF DISMAL WOE,1172
ᛁᚾ-ᚷᚻᚪᛋᛏᛚᚣ-ᛏᚩᚱᛗᛖᚾᛏ-ᛋᛁᚳᚳ,IN GHASTLY TORMENT SIKK,898
ᚹᛁᚦᛁᚾ-ᚻᛁᛋ-ᚱᛁᛒᛋ-ᛒᛚᚩᚪᛏᛖᛞ-ᚱᚩᚢᚾᛞ,WITHIN HIS RIBS BLOATED ROUND,970
ᚪ-ᚳᚱᚪᚢᛝ-ᚻᚢᛝᚱᚣ-ᚳᚪᚢᛖᚱᚾ,A KRAUING HUINGRY KAUERN,739
ᚦᛖᚾᚳᛖ-ᚪᚱᚩᛋᛖ-ᚻᛁᛋ-ᚳᚻᚪᚾᚾᛖᛚᛞ-ᚦᚱᚩᚪᛏ,THENKE AROSE HIS KHANNELD THROAT,1122
ᚪᚾᛞ-ᛚᛁᚳᛖ-ᚪ-ᚱᛖᛞ-ᚠᛚᚪᛗᛖ-ᚪ-ᛏᚩᛝᚢᛖ,AND LIKE A RED FLAME A TOINGUE,1285
ᚩᚠ-ᚦᛁᚱᛋᛏ-ᚪᚾᛞ-ᚩᚠ-ᚻᚢᛝᛖᚱ-ᚪᛈᛈᛠᚱᛞ,OF THIRST AND OF HUINGER APPEARD,967
ᚪᚾᛞ-ᚪ-ᛋᛁᛉᚦ-ᚪᚷᛖ-ᛈᚪᛋᛋᛖᛞ-ᚩᚢᛖᚱ,AND A SIXTH AGE PASSED OUER,1119
ᚪᚾᛞ-ᚪ-ᛋᛏᚪᛏᛖ-ᚩᚠ-ᛞᛁᛋᛗᚪᛚ-ᚹᛟ,AND A STATE OF DISMAL WOE,1172
ᛖᚾᚱᚪᚷᛖᛞ-ᚪᚾᛞ-ᛋᛏᛁᚠᛚᛖᛞ-ᚹᛁᚦ-ᛏᚩᚱᛗᛖᚾᛏ,ENRAGED AND STIFLED WITH TORMENT,1324
ᚻᛖ-ᚦᚱᛖᚹ-ᚻᛁᛋ-ᚱᛁᚷᚻᛏ-ᚪᚱᛗ-ᛏᚩ-ᚦᛖ-ᚾᚩᚱᚦ,HE THREW HIS RIGHT ARM TO THE NORTH,809
ᚻᛁᛋ-ᛚᛖᚠᛏ-ᚪᚱᛗ-ᛏᚩ-ᚦᛖ-ᛋᚩᚢᚦ,HIS LEFT ARM TO THE SOUTH,693
ᛋᚻᚩᚩᛏᛝ-ᚩᚢᛏ-ᛁᚾ-ᚪᛝᚢᛁᛋᚻ-ᛞᛖᛖᛈ,SHOOTING OUT IN AINGUISH DEEP,909
ᚪᚾᛞ-ᚻᛁᛋ-ᚠᛖᛖᛏ-ᛋᛏᚪᛗᛈᛞ-ᚦᛖ-ᚾᛖᚦᛖᚱ-ᚪᛒᚣᛋᛋ,AND HIS FEET STAMPD THE NETHER ABYSS,1547
ᛁᚾ-ᛏᚱᛖᛗᛒᛚᛝ-ᚪᚾᛞ-ᚻᚩᚹᛚᛝ-ᚪᚾᛞ-ᛞᛁᛋᛗᚪᚣ,IN TREMBLING AND HOWLING AND DISMAY,1556
ᚪᚾᛞ-ᚪ-ᛋᛖᚢᛖᚾᚦ-ᚪᚷᛖ-ᛈᚪᛋᛋᛖᛞ-ᚩᚢᛖᚱ,AND A SEUENTH AGE PASSED OUER,1207
ᚪᚾᛞ-ᚪ-ᛋᛏᚪᛏᛖ-ᚩᚠ-ᛞᛁᛋᛗᚪᛚ-ᚹᛟ,AND A STATE OF DISMAL WOE,1172
ᛁᚾ-ᛏᛖᚱᚱᚩᚱᛋ-ᛚᚩᛋ-ᛋᚻᚱᚢᚾᚳ-ᚠᚱᚩᛗ-ᚻᛁᛋ-ᛏᚪᛋᚳ,IN TERRORS LOS SHRUNK FROM HIS TASK,964
ᚻᛁᛋ-ᚷᚱᛠᛏ-ᚻᚪᛗᛗᛖᚱ-ᚠᛖᛚᛚ-ᚠᚱᚩᛗ-ᚻᛁᛋ-ᚻᚪᚾᛞ,HIS GREAT HAMMER FELL FROM HIS HAND,1294
ᚻᛁᛋ-ᚠᛁᚱᛖᛋ-ᛒᛖᚻᛖᛚᛞ-ᚪᚾᛞ-ᛋᛁᚳᚳᛖᚾᛝ,HIS FIRES BEHELD AND SIKKENING,1151
ᚻᛁᛞ-ᚦᛖᛁᚱ-ᛋᛏᚱᚩᛝ-ᛚᛁᛗᛒᛋ-ᛁᚾ-ᛋᛗᚩᚳᛖ,HID THEIR STROING LIMBS IN SMOKE,1026
ᚠᚩᚱ-ᚹᛁᚦ-ᚾᚩᛁᛋᛖᛋ-ᚱᚢᛁᚾᚩᚢᛋ-ᛚᚩᚢᛞ,FOR WITH NOISES RUINOUS LOUD,624
ᚹᛁᚦ-ᚻᚢᚱᛏᛚᛝᛋ-ᚪᚾᛞ-ᚳᛚᚪᛋᚻᛝᛋ-ᚪᚾᛞ-ᚷᚱᚩᚪᚾᛋ,WITH HURTLINGS AND KLASHINGS AND GROANS,1391
ᚦᛖ-ᛁᛗᛗᚩᚱᛏᚪᛚ-ᛖᚾᛞᚢᚱᛞ-ᚻᛁᛋ-ᚳᚻᚪᛁᚾᛋ,THE IMMORTAL ENDURD HIS KHAINS,1133
ᚦᚩ-ᛒᚩᚢᚾᛞ-ᛁᚾ-ᚪ-ᛞᛠᛞᛚᚣ-ᛋᛚᛖᛖᛈ,THO BOUND IN A DEADLY SLEEP,1124
ᚪᛚᛚ-ᚦᛖ-ᛗᚣᚱᛡᛞᛋ-ᚩᚠ-ᛖᛏᛖᚱᚾᛁᛏᚣ,ALL THE MYRIADS OF ETERNITY,1184
ᚪᛚᛚ-ᚦᛖ-ᚹᛁᛋᛞᚩᛗ-ᚪᚾᛞ-ᛄᚩᚣ-ᚩᚠ-ᛚᛁᚠᛖ,ALL THE WISDOM AND JOY OF LIFE,1129
ᚱᚩᛚᛚ-ᛚᛁᚳᛖ-ᚪ-ᛋᛠ-ᚪᚱᚩᚢᚾᛞ-ᚻᛁᛗ,ROLL LIKE A SEA AROUND HIM,968
ᛖᛉᚳᛖᛈᛏ-ᚹᚻᚪᛏ-ᚻᛁᛋ-ᛚᛁᛏᛏᛚᛖ-ᚩᚱᛒᛋ,EXKEPT WHAT HIS LITTLE ORBS,1095
ᚩᚠ-ᛋᛁᚷᚻᛏ-ᛒᚣ-ᛞᛖᚷᚱᛖᛖᛋ-ᚢᚾᚠᚩᛚᛞ,OF SIGHT BY DEGREES UNFOLD,930
ᚪᚾᛞ-ᚾᚩᚹ-ᚻᛁᛋ-ᛖᛏᛖᚱᚾᚪᛚ-ᛚᛁᚠᛖ,AND NOW HIS ETERNAL LIFE,953
ᛚᛁᚳᛖ-ᚪ-ᛞᚱᛠᛗ-ᚹᚪᛋ-ᚩᛒᛚᛁᛏᛖᚱᚪᛏᛖᛞ,LIKE A DREAM WAS OBLITERATED,1351
ᛋᚻᚢᛞᛞᚱᛝ-ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛈᚱᚩᛈᚻᛖᛏ-ᛋᛗᚩᛏᛖ,SHUDDRING THE ETERNAL PROPHET SMOTE,1332
ᚹᛁᚦ-ᚪ-ᛋᛏᚱᚩᚳᛖ-ᚠᚱᚩᛗ-ᚻᛁᛋ-ᚾᚩᚱᚦ-ᛏᚩ-ᛋᚩᚢᚦ-ᚱᛖᚷᛡᚾ,WITH A STROKE FROM HIS NORTH TO SOUTH REGIAN,977
ᚦᛖ-ᛒᛖᛚᛚᚩᚹᛋ-ᚪᚾᛞ-ᚻᚪᛗᛗᛖᚱ-ᚪᚱᛖ-ᛋᛁᛚᛖᚾᛏ-ᚾᚩᚹ,THE BELLOWS AND HAMMER ARE SILENT NOW,1522
ᚪ-ᚾᛖᚱᚢᛖᛚᛖᛋᛋ-ᛋᛁᛚᛖᚾᚳᛖ-ᚻᛁᛋ-ᛈᚱᚩᛈᚻᛖᛏᛁᚳ-ᚢᚩᛁᚳᛖ,A NERUELESS SILENKE HIS PROPHETIK UOIKE,1378
ᛋᛁᛖᛋᛞ-ᚪ-ᚳᚩᛚᛞ-ᛋᚩᛚᛁᛏᚢᛞᛖ-ᚪᚾᛞ-ᛞᚪᚱᚳ-ᚢᚩᛁᛞ,SIESD A KOLD SOLITUDE AND DARK UOID,1509
ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛈᚱᚩᛈᚻᛖᛏ-ᚪᚾᛞ-ᚢᚱᛁᛋᛖᚾ-ᚳᛚᚩᛋᛞ,THE ETERNAL PROPHET AND URISEN KLOSD,1372
ᚪᚷᛖᛋ-ᚩᚾ-ᚪᚷᛖᛋ-ᚱᚩᛚᛚᛞ-ᚩᚢᛖᚱ-ᚦᛖᛗ,AGES ON AGES ROLLD OUER THEM,988
ᚳᚢᛏ-ᚩᚠᚠ-ᚠᚱᚩᛗ-ᛚᛁᚠᛖ-ᚪᚾᛞ-ᛚᛁᚷᚻᛏ-ᚠᚱᚩᛋᛖᚾ,KUT OFF FROM LIFE AND LIGHT FROSEN,937
ᛁᚾᛏᚩ-ᚻᚩᚱᚱᛁᛒᛚᛖ-ᚠᚩᚱᛗᛋ-ᚩᚠ-ᛞᛖᚠᚩᚱᛗᛁᛏᚣ,INTO HORRIBLE FORMS OF DEFORMITY,1003
ᛚᚩᛋ-ᛋᚢᚠᚠᛖᚱᛞ-ᚻᛁᛋ-ᚠᛁᚱᛖᛋ-ᛏᚩ-ᛞᛖᚳᚪᚣ,LOS SUFFERD HIS FIRES TO DEKAY,1066
ᚦᛖᚾ-ᚻᛖ-ᛚᚩᚩᚳᛞ-ᛒᚪᚳᚳ-ᚹᛁᚦ-ᚪᚾᛉᛡᚢᛋ-ᛞᛖᛋᛁᚱᛖ,THEN HE LOOKD BAKK WITH ANXIAUS DESIRE,1273
ᛒᚢᛏ-ᚦᛖ-ᛋᛈᚪᚳᛖ-ᚢᚾᛞᛁᚢᛁᛞᛖᛞ-ᛒᚣ-ᛖᛉᛁᛋᛏᛖᚾᚳᛖ,BUT THE SPAKE UNDIUIDED BY EXISTENKE,1496
ᛋᛏᚱᚢᚳᚳ-ᚻᚩᚱᚱᚩᚱ-ᛁᚾᛏᚩ-ᚻᛁᛋ-ᛋᚩᚢᛚ,STRUKK HORROR INTO HIS SOUL,591
ᛚᚩᛋ-ᚹᛖᛈᛏ-ᚩᛒᛋᚳᚢᚱᛞ-ᚹᛁᚦ-ᛗᚩᚢᚱᚾᛝ,LOS WEPT OBSKURD WITH MOURNING,813
ᚻᛁᛋ-ᛒᚩᛋᚩᛗ-ᛠᚱᚦᚢᚪᚳᛞ-ᚹᛁᚦ-ᛋᛁᚷᚻᛋ,HIS BOSOM EARTHUAKD WITH SIGHS,865
ᚻᛖ-ᛋᚪᚹ-ᚢᚱᛁᛋᛖᚾ-ᛞᛠᛞᛚᚣ-ᛒᛚᚪᚳᚳ,HE SAW URISEN DEADLY BLAKK,1173
ᛁᚾ-ᚻᛁᛋ-ᚳᚻᚪᛁᚾᛋ-ᛒᚩᚢᚾᛞ-ᚪᚾᛞ-ᛈᛁᛏᚣ-ᛒᛖᚷᚪᚾ,IN HIS KHAINS BOUND AND PITY BEGAN,1324
ᛁᚾ-ᚪᛝᚢᛁᛋᚻ-ᛞᛁᚢᛁᛞᛝ-ᚪᚾᛞ-ᛞᛁᚢᛁᛞᛝ,IN AINGUISH DIUIDING AND DIUIDING,1205
ᚠᚩᚱ-ᛈᛁᛏᚣ-ᛞᛁᚢᛁᛞᛖᛋ-ᚦᛖ-ᛋᚩᚢᛚ,FOR PITY DIUIDES THE SOUL,827
ᛁᚾ-ᛈᚪᛝᛋ-ᛖᛏᛖᚱᚾᛁᛏᚣ-ᚩᚾ-ᛖᛏᛖᚱᚾᛁᛏᚣ,IN PAINGS ETERNITY ON ETERNITY,1220
ᛚᛁᚠᛖ-ᛁᚾ-ᚳᚪᛏᚪᚱᚪᚳᛏᛋ-ᛈᚩᚢᚱᛞ-ᛞᚩᚹᚾ-ᚻᛁᛋ-ᚳᛚᛁᚠᚠᛋ,LIFE IN KATARAKTS POURD DOWN HIS KLIFFS,1310
ᚦᛖ-ᚢᚩᛁᛞ-ᛋᚻᚱᚢᚾᚳ-ᚦᛖ-ᛚᚣᛗᛈᚻ-ᛁᚾᛏᚩ-ᚾᛖᚱᚢᛖᛋ,THE UOID SHRUNK THE LYMPH INTO NERUES,1075
ᚹᚪᚾᛞᚱᛝ-ᚹᛁᛞᛖ-ᚩᚾ-ᚦᛖ-ᛒᚩᛋᚩᛗ-ᚩᚠ-ᚾᛁᚷᚻᛏ,WANDRING WIDE ON THE BOSOM OF NIGHT,1005
ᚪᚾᛞ-ᛚᛖᚠᛏ-ᚪ-ᚱᚩᚢᚾᛞ-ᚷᛚᚩᛒᛖ-ᚩᚠ-ᛒᛚᚩᚩᛞ,AND LEFT A ROUND GLOBE OF BLOOD,1123
ᛏᚱᛖᛗᛒᛚᛝ-ᚢᛈᚩᚾ-ᚦᛖ-ᚢᚩᛁᛞ,TREMBLING UPON THE UOID,705
ᚦᚢᛋ-ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛈᚱᚩᛈᚻᛖᛏ-ᚹᚪᛋ-ᛞᛁᚢᛁᛞᛖᛞ,THUS THE ETERNAL PROPHET WAS DIUIDED,1357
ᛒᛖᚠᚩᚱᛖ-ᚦᛖ-ᛞᛠᚦ-ᛁᛗᚪᚷᛖ-ᚩᚠ-ᚢᚱᛁᛋᛖᚾ,BEFORE THE DEATH IMAGE OF URISEN,976
ᚠᚩᚱ-ᛁᚾ-ᚳᚻᚪᛝᛠᛒᛚᛖ-ᚳᛚᚩᚢᛞᛋ-ᚪᚾᛞ-ᛞᚪᚱᚳᚾᛖᛋᛋ,FOR IN KHAINGEABLE KLOUDS AND DARKNESS,1467
ᛁᚾ-ᚪ-ᚹᛁᚾᛏᛖᚱᛚᚣ-ᚾᛁᚷᚻᛏ-ᛒᛖᚾᛠᚦ,IN A WINTERLY NIGHT BENEATH,979
ᚦᛖ-ᚪᛒᚣᛋᛋ-ᚩᚠ-ᛚᚩᛋ-ᛋᛏᚱᛖᛏᚳᚻᛞ-ᛁᛗᛗᛖᚾᛋᛖ,THE ABYSS OF LOS STRETKHD IMMENSE,1344
ᚪᚾᛞ-ᚾᚩᚹ-ᛋᛖᛖᚾ-ᚾᚩᚹ-ᚩᛒᛋᚳᚢᚱᛞ-ᛏᚩ-ᚦᛖ-ᛖᚣᛖᛋ,AND NOW SEEN NOW OBSKURD TO THE EYES,1206
ᚩᚠ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᚦᛖ-ᚢᛁᛋᛡᚾᛋ-ᚱᛖᛗᚩᛏᛖ,OF ETERNALS THE UISIANS REMOTE,1095
ᚩᚠ-ᚦᛖ-ᛞᚪᚱᚳ-ᛋᛖᛈᛖᚱᚪᛏᛡᚾ-ᚪᛈᛈᛠᚱᛞ,OF THE DARK SEPERATIAN APPEARD,1216
ᚪᛋ-ᚷᛚᚪᛋᛋᛖᛋ-ᛞᛁᛋᚳᚩᚢᛖᚱ-ᚹᚩᚱᛚᛞᛋ,AS GLASSES DISKOUER WORLDS,1089
ᛁᚾ-ᚦᛖ-ᛖᚾᛞᛚᛖᛋᛋ-ᚪᛒᚣᛋᛋ-ᚩᚠ-ᛋᛈᚪᚳᛖ,IN THE ENDLESS ABYSS OF SPAKE,1212
ᛋᚩ-ᚦᛖ-ᛖᛉᛈᚪᚾᛞᛝ-ᛖᚣᛖᛋ-ᚩᚠ-ᛁᛗᛗᚩᚱᛏᚪᛚᛋ,SO THE EXPANDING EYES OF IMMORTALS,1355
ᛒᛖᚻᛖᛚᛞ-ᚦᛖ-ᛞᚪᚱᚳ-ᚢᛁᛋᛡᚾᛋ-ᚩᚠ-ᛚᚩᛋ,BEHELD THE DARK UISIANS OF LOS,1080
ᚪᚾᛞ-ᚦᛖ-ᚷᛚᚩᛒᛖ-ᚩᚠ-ᛚᛁᚠᛖ-ᛒᛚᚩᚩᛞ-ᛏᚱᛖᛗᛒᛚᛝ,AND THE GLOBE OF LIFE BLOOD TREMBLING,1352
ᚦᛖ-ᚷᛚᚩᛒᛖ-ᚩᚠ-ᛚᛁᚠᛖ-ᛒᛚᚩᚩᛞ-ᛏᚱᛖᛗᛒᛚᛖᛞ,THE GLOBE OF LIFE BLOOD TREMBLED,1214
ᛒᚱᚪᚾᚳᚻᛝ-ᚩᚢᛏ-ᛁᚾᛏᚩ-ᚱᚩᚩᛏᛋ,BRANKHING OUT INTO ROOTS,645
ᚠᛁᛒᚱᚩᚢᛋ-ᚹᚱᛁᚦᛝ-ᚢᛈᚩᚾ-ᚦᛖ-ᚹᛁᚾᛞᛋ,FIBROUS WRITHING UPON THE WINDS,688
ᚠᛁᛒᚱᛖᛋ-ᚩᚠ-ᛒᛚᚩᚩᛞ-ᛗᛁᛚᚳ-ᚪᚾᛞ-ᛏᛠᚱᛋ,FIBRES OF BLOOD MILK AND TEARS,1106
ᛁᚾ-ᛈᚪᛝᛋ-ᛖᛏᛖᚱᚾᛁᛏᚣ-ᚩᚾ-ᛖᛏᛖᚱᚾᛁᛏᚣ,IN PAINGS ETERNITY ON ETERNITY,1220
ᚪᛏ-ᛚᛖᛝᚦ-ᛁᚾ-ᛏᛠᚱᛋ-ᚪᚾᛞ-ᚳᚱᛁᛖᛋ-ᛁᛗᛒᚩᛞᛁᛖᛞ,AT LEINGTH IN TEARS AND KRIES IMBODIED,1508
ᚪ-ᚠᛖᛗᚪᛚᛖ-ᚠᚩᚱᛗ-ᛏᚱᛖᛗᛒᛚᛝ-ᚪᚾᛞ-ᛈᚪᛚᛖ,A FEMALE FORM TREMBLING AND PALE,1481
ᚹᚪᚢᛖᛋ-ᛒᛖᚠᚩᚱᛖ-ᚻᛁᛋ-ᛞᛠᚦᚣ-ᚠᚪᚳᛖ,WAUES BEFORE HIS DEATHY FAKE,1046
ᚪᛚᛚ-ᛖᛏᛖᚱᚾᛁᛏᚣ-ᛋᚻᚢᛞᛞᛖᚱᛞ-ᚪᛏ-ᛋᛁᚷᚻᛏ,ALL ETERNITY SHUDDERD AT SIGHT,1432
ᚩᚠ-ᚦᛖ-ᚠᛁᚱᛋᛏ-ᚠᛖᛗᚪᛚᛖ-ᚾᚩᚹ-ᛋᛖᛈᚪᚱᚪᛏᛖ,OF THE FIRST FEMALE NOW SEPARATE,1163
ᛈᚪᛚᛖ-ᚪᛋ-ᚪ-ᚳᛚᚩᚢᛞ-ᚩᚠ-ᛋᚾᚩᚹ,PALE AS A KLOUD OF SNOW,829
ᚹᚪᚢᛝ-ᛒᛖᚠᚩᚱᛖ-ᚦᛖ-ᚠᚪᚳᛖ-ᚩᚠ-ᛚᚩᛋ,WAUING BEFORE THE FAKE OF LOS,806
ᚹᚩᚾᛞᛖᚱ-ᚪᚹᛖ-ᚠᛠᚱ-ᚪᛋᛏᚩᚾᛁᛋᚻᛗᛖᚾᛏ,WONDER AWE FEAR ASTONISHMENT,1105
ᛈᛖᛏᚱᛁᚠᚣ-ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚ-ᛗᚣᚱᛡᛞᛋ,PETRIFY THE ETERNAL MYRIADS,1225
ᚪᛏ-ᚦᛖ-ᚠᛁᚱᛋᛏ-ᚠᛖᛗᚪᛚᛖ-ᚠᚩᚱᛗ-ᚾᚩᚹ-ᛋᛖᛈᚪᚱᚪᛏᛖ,AT THE FIRST FEMALE FORM NOW SEPARATE,1401
ᚦᛖᚣ-ᚳᚪᛚᛚᛞ-ᚻᛖᚱ-ᛈᛁᛏᚣ-ᚪᚾᛞ-ᚠᛚᛖᛞ,THEY KALLD HER PITY AND FLED,1303
ᛋᛈᚱᛠᛞ-ᚪ-ᛏᛖᚾᛏ-ᚹᛁᚦ-ᛋᛏᚱᚩᛝ-ᚳᚢᚱᛏᚪᛁᚾᛋ-ᚪᚱᚩᚢᚾᛞ-ᚦᛖᛗ,SPREAD A TENT WITH STROING KURTAINS AROUND THEM,1555
ᛚᛖᛏ-ᚳᚩᚱᛞᛋ-ᚪᚾᛞ-ᛋᛏᚪᚳᛖᛋ-ᛒᛁᚾᛞ-ᛁᚾ-ᚦᛖ-ᚢᚩᛁᛞ,LET KORDS AND STAKES BIND IN THE UOID,1401
ᚦᚪᛏ-ᛖᛏᛖᚱᚾᚪᛚᛋ-ᛗᚪᚣ-ᚾᚩ-ᛗᚩᚱᛖ-ᛒᛖᚻᚩᛚᛞ-ᚦᛖᛗ,THAT ETERNALS MAY NO MORE BEHOLD THEM,1543
ᚦᛖᚣ-ᛒᛖᚷᚪᚾ-ᛏᚩ-ᚹᛠᚢᛖ-ᚳᚢᚱᛏᚪᛁᚾᛋ-ᚩᚠ-ᛞᚪᚱᚳᚾᛖᛋᛋ,THEY BEGAN TO WEAUE KURTAINS OF DARKNESS,1427
ᚦᛖᚣ-ᛖᚱᛖᚳᛏᛖᛞ-ᛚᚪᚱᚷᛖ-ᛈᛁᛚᛚᚪᚱᛋ-ᚱᚩᚢᚾᛞ-ᚦᛖ-ᚢᚩᛁᛞ,THEY EREKTED LARGE PILLARS ROUND THE UOID,1535
ᚹᛁᚦ-ᚷᚩᛚᛞᛖᚾ-ᚻᚩᚩᚳᛋ-ᚠᚪᛋᛏᛖᚾᛞ-ᛁᚾ-ᚦᛖ-ᛈᛁᛚᛚᚪᚱᛋ,WITH GOLDEN HOOKS FASTEND IN THE PILLARS,1349
ᚹᛁᚦ-ᛁᚾᚠᛁᚾᛁᛏᛖ-ᛚᚪᛒᚩᚢᚱ-ᚦᛖ-ᛖᛏᛖᚱᚾᚪᛚᛋ,WITH INFINITE LABOUR THE ETERNALS,1114
ᚪ-ᚹᚩᚩᚠ-ᚹᚩᚢᛖ-ᚪᚾᛞ-ᚳᚪᛚᛚᛖᛞ-ᛁᛏ-ᛋᚳᛁᛖᚾᚳᛖ,A WOOF WOUE AND KALLED IT SKIENKE,1218
ᛒᚢᛏ-ᛚᚩᛋ-ᛋᚪᚹ-ᚦᛖ-ᚠᛖᛗᚪᛚᛖ-ᚪᚾᛞ-ᛈᛁᛏᛁᛖᛞ,BUT LOS SAW THE FEMALE AND PITIED,1409
ᚻᛖ-ᛖᛗᛒᚱᚪᚳᛞ-ᚻᛖᚱ-ᛋᚻᛖ-ᚹᛖᛈᛏ-ᛋᚻᛖ-ᚱᛖᚠᚢᛋᛞ,HE EMBRAKD HER SHE WEPT SHE REFUSD,1299
ᛁᚾ-ᛈᛖᚱᚢᛖᚱᛋᛖ-ᚪᚾᛞ-ᚳᚱᚢᛖᛚ-ᛞᛖᛚᛁᚷᚻᛏ,IN PERUERSE AND KRUEL DELIGHT,1123
ᛋᚻᛖ-ᚠᛚᛖᛞ-ᚠᚱᚩᛗ-ᚻᛁᛋ-ᚪᚱᛗᛋ-ᚣᛖᛏ-ᚻᛖ-ᚠᚩᛚᛚᚩᚹᛞ,SHE FLED FROM HIS ARMS YET HE FOLLOWD,1393
ᛖᛏᛖᚱᚾᛁᛏᚣ-ᛋᚻᚢᛞᛞᛖᚱᛞ-ᚹᚻᛖᚾ-ᚦᛖᚣ-ᛋᚪᚹ,ETERNITY SHUDDERD WHEN THEY SAW,1332
